name,all_reviews,popular_tags
Tank Force,"Mixed,(1,003),- 61% of the 1,003 user reviews for this game are positive.","Free to Play,Action,Tanks,Simulation,Multiplayer"
Running Through Russia,"Mixed,(1,004),- 69% of the 1,004 user reviews for this game are positive.","Early Access,Indie,Casual,Early Access,Adventure,Memes,Psychological Horror,Platformer,2D,Pixel Graphics,Illuminati,Story Rich"
Operation Flashpoint: Dragon Rising,"Mixed,(1,009),- 64% of the 1,009 user reviews for this game are positive.","Action,FPS,Tactical,Military,Multiplayer,Open World,Simulation,Co-op,First-Person,Singleplayer,Shooter,Realistic,Strategy,War,Stealth,Walking Simulator,Adventure"
Syberia 3,"Mixed,(1,011),- 48% of the 1,011 user reviews for this game are positive.","Adventure,Puzzle,Story Rich,Female Protagonist,Atmospheric,Point & Click,Singleplayer,Great Soundtrack,Steampunk,Hidden Object,Third Person,Controller,Open World,Masterpiece,Choices Matter,Mystery,Classic"
This War of Mine: Stories - Season Pass,"Mixed,(1,016),- 68% of the 1,016 user reviews for this game are positive.","Adventure,Simulation,Indie"
SKYHILL,"Mixed,(1,016),- 69% of the 1,016 user reviews for this game are positive.","Survival,Adventure,Indie,Rogue-like,Post-apocalyptic,RPG,2D,Simulation,Atmospheric,Singleplayer,Point & Click,Zombies,Action,Crafting,Strategy,Open World,Side Scroller,Replay Value,Platformer,War"
WARMACHINE: Tactics,"Mixed,(1,021),- 44% of the 1,021 user reviews for this game are positive.","Strategy,Turn-Based,Turn-Based Strategy,Steampunk,Tactical,Indie,Fantasy,Multiplayer,Adventure,Kickstarter,Masterpiece,RPG,Singleplayer,Early Access,Board Game"
WRC 7 FIA World Rally Championship,"Mixed,(1,021),- 63% of the 1,021 user reviews for this game are positive.","Racing,Offroad,Simulation,Multiplayer,Sports,Driving"
Dead Island: Riptide Definitive Edition,"Mixed,(1,021),- 66% of the 1,021 user reviews for this game are positive.","Zombies,Action,Co-op,Open World,Survival,Gore,Multiplayer,First-Person,Horror,Adventure,Crafting,FPS,Singleplayer,Online Co-Op"
Wild Warfare,"Mixed,(1,022),- 69% of the 1,022 user reviews for this game are positive.","Early Access,Early Access,Free to Play,Action,Multiplayer,FPS,Indie,Shooter,First-Person,Massively Multiplayer,Funny"
Grimoire: Manastorm,"Mixed,(1,030),- 69% of the 1,030 user reviews for this game are positive.","Action,Shooter,Indie,Free to Play,Magic,Multiplayer,FPS,Medieval,Fast-Paced,Third-Person Shooter,First-Person,Early Access"
How To Survive: Third Person Standalone,"Mixed,(1,032),- 55% of the 1,032 user reviews for this game are positive.","Survival,Zombies,Action,Multiplayer,Adventure,Crafting,Open World,Third Person,RPG,Co-op,Singleplayer,Horror,Survival Horror,Third-Person Shooter,Indie,Gore,Shooter"
Virtual Desktop,"Mixed,(1,032),- 69% of the 1,032 user reviews for this software are positive.","Utilities,VR"
F1 2015,"Mixed,(1,033),- 45% of the 1,033 user reviews for this game are positive.","Racing,Sports,Simulation,Driving,Multiplayer,Realistic,Singleplayer,Co-op,Action,First-Person"
NosTale,"Mixed,(1,042),- 68% of the 1,042 user reviews for this game are positive.","Free to Play,Anime,MMORPG,Massively Multiplayer,Adventure,RPG,Action,Multiplayer,Open World,Co-op,Fantasy,PvP,PvE,Action RPG,Character Customization"
Blues and Bullets,"Mixed,(1,043),- 63% of the 1,043 user reviews for this game are positive.","Adventure,Noir,Detective,Episodic,Story Rich,Choices Matter,Dark,Singleplayer,Mature,Atmospheric,Indie,Quick-Time Events,Cinematic,Mystery,Gore,Great Soundtrack,Choose Your Own Adventure,Visual Novel,Multiple Endings,Alternate History"
Dungeon Siege II,"Mixed,(1,046),- 68% of the 1,046 user reviews for this game are positive.","RPG,Fantasy,Action RPG,Hack and Slash,Singleplayer,Adventure,Classic,Action,Party-Based RPG,Co-op,Isometric,Dungeon Crawler,Real-Time with Pause,Multiplayer,Masterpiece"
Thirty Flights of Loving,"Mixed,(1,047),- 65% of the 1,047 user reviews for this game are positive.","Short,Indie,Adventure,First-Person,Experimental,Great Soundtrack,Casual,Experience,Walking Simulator,Singleplayer,Story Rich,Exploration,Atmospheric,Surreal"
Kingdom Two Crowns,"Mixed,(1,058),- 66% of the 1,058 user reviews for this game are positive.","Strategy,Pixel Graphics,Co-op,Adventure,Indie,Multiplayer,Simulation,Base Building,Local Co-Op,Side Scroller,2D,Great Soundtrack,Fantasy,Survival,Online Co-Op"
Abyss Odyssey,"Mixed,(1,060),- 69% of the 1,060 user reviews for this game are positive.","Action,Platformer,Indie,Side Scroller,Adventure,Co-op,Rogue-like,Female Protagonist,2D,Metroidvania,Beat 'em up,Local Co-Op,Hack and Slash,Fantasy,Fighting,RPG,Rogue-lite,Singleplayer,Procedural Generation,Multiplayer"
Trainz: A New Era,"Mixed,(1,066),- 66% of the 1,066 user reviews for this game are positive.","Simulation,Trains,Driving,Open World,Multiplayer,Building,Realistic,Singleplayer,Sandbox"
DOOM VFR,"Mixed,(1,073),- 58% of the 1,073 user reviews for this game are positive.","Violent,Action,Gore,VR,FPS,Shooter,Horror,Singleplayer,Sci-fi,First-Person"
Victory: The Age of Racing,"Mixed,(1,075),- 46% of the 1,075 user reviews for this game are positive.","Racing,Free to Play,Multiplayer,Sports,Simulation,Indie,Arcade,Massively Multiplayer,Controller,Action,First-Person,Driving"
INTERSHELTER,"Mixed,(1,085),- 68% of the 1,085 user reviews for this game are positive.","Early Access,Early Access,Action,Massively Multiplayer,Indie,Survival,Battle Royale,Multiplayer"
Days of War,"Mixed,(1,086),- 41% of the 1,086 user reviews for this game are positive.","Early Access,World War II,Action,Early Access,FPS,Multiplayer,Violent,War,Gore,Shooter,Realistic,Historical,Singleplayer"
Chivalry: Deadliest Warrior,"Mixed,(1,088),- 59% of the 1,088 user reviews for this game are positive.","Action,Indie,Multiplayer,Gore,Medieval,First-Person,Third Person,Ninja,Swordplay,Shooter"
TeraBlaster,"Mixed,(1,089),- 69% of the 1,089 user reviews for this game are positive.","Indie,Casual,Action,Retro,Shoot 'Em Up"
Ship Simulator Extremes,"Mixed,(1,090),- 43% of the 1,090 user reviews for this game are positive.","Simulation,Realistic,Naval,Open World,Multiplayer,Adventure,Singleplayer"
Pandemic Express - Zombie Escape,"Mixed,(1,094),- 68% of the 1,094 user reviews for this game are positive.","Early Access,Zombies,Action,Early Access,Multiplayer,Massively Multiplayer,Survival,Indie,FPS,First-Person,Shooter,Co-op,Horror,Parkour,Open World,Battle Royale,Funny"
Lucius II,"Mixed,(1,095),- 59% of the 1,095 user reviews for this game are positive.","Horror,Gore,Villain Protagonist,Nudity,Indie,Psychological Horror,Adventure,Dark,Action,Third Person,Puzzle,Demons,Singleplayer,Simulation,Stealth,Open World,Funny,Atmospheric,Blood,Mature"
Planet Nomads,"Mixed,(1,098),- 67% of the 1,098 user reviews for this game are positive.","Open World,Survival,Sandbox,Building,Space,Base Building,Adventure,Exploration,Sci-fi,Crafting,Simulation,Action,Singleplayer,Indie,Early Access,Third Person,First-Person,Action-Adventure,Voxel"
Prospekt,"Mixed,(1,099),- 60% of the 1,099 user reviews for this game are positive.","Action,FPS,Singleplayer,Sci-fi,Shooter,Mod,First-Person,Story Rich,Indie,Adventure,Multiplayer"
Empires Apart,"Mixed,(1,099),- 62% of the 1,099 user reviews for this game are positive.","Strategy,RTS,Real Time Tactics,Free to Play,Multiplayer,Tactical,Real-Time,Historical,War,Singleplayer,Medieval,Co-op,Great Soundtrack,Replay Value"
