id,all_reviews,name,URL,popular_tags
1,"Overwhelmingly Positive,(66,438),- 96% of the 66,438 user reviews for this game are positive.",Counter-Strike,https://store.steampowered.com/app/10/CounterStrike/,"Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,1990's,e-sports,PvP,Old School,Military,Strategy,Masterpiece,Survival,Score Attack,1980s,Assassin"
2,"Mostly Positive,(301),- 75% of the 301 user reviews for this game are positive.",Rogue Reaper,https://store.steampowered.com/app/1000380/Rogue_Reaper/,"Free to Play,Action,Indie,Adventure,Parkour,Third Person,Dark Fantasy,Alternate History,Fantasy,Female Protagonist,3D Platformer"
3,"Positive,(25),- 84% of the 25 user reviews for this game are positive.",Drawngeon: Dungeons of Ink and Paper,https://store.steampowered.com/app/1000470/Drawngeon_Dungeons_of_Ink_and_Paper/,"RPG,Adventure,Indie,Grid-Based Movement,First-Person,Atmospheric,Exploration,Procedural Generation,Underground,Dungeon Crawler,GameMaker,Singleplayer,Mystery Dungeon,Hand-drawn,Fantasy,Controller,Rogue-lite,Pixel Graphics"
4,"Mixed,(20),- 65% of the 20 user reviews for this software are positive.",The Marvellous Machine,https://store.steampowered.com/app/1000510/The_Marvellous_Machine/,"Education,VR,Narration,Experience"
5,"Mixed,(26),- 65% of the 26 user reviews for this game are positive.",Glorious Companions,https://store.steampowered.com/app/1001040/Glorious_Companions/,"Early Access,RPG,Strategy,Indie,Turn-Based Tactics,Early Access,Violent,Replay Value,Turn-Based,Fantasy,Turn-Based Combat,Procedural Generation,Open World,Tactical,Sandbox,Singleplayer,Dark Fantasy,Strategy RPG"
6,"Very Positive,(80),- 86% of the 80 user reviews for this game are positive.",Angry Birds VR: Isle of Pigs,https://store.steampowered.com/app/1001140/Angry_Birds_VR_Isle_of_Pigs/,"Casual,VR,Puzzle,Physics,Singleplayer,Great Soundtrack"
7,"Positive,(25),- 84% of the 25 user reviews for this series are positive.",SUBVERSE,https://store.steampowered.com/app/1001630/SUBVERSE/,"Sexual Content,Nudity,Episodic,Thriller,Sci-fi"
8,"Very Positive,(56),- 91% of the 56 user reviews for this game are positive.",Casual Desktop Game,https://store.steampowered.com/app/1001860/Casual_Desktop_Game/,"Early Access,Free to Play,Casual,Early Access,Action,Indie"
9,"Mixed,(24),- 58% of the 24 user reviews for this game are positive.",Rocket League® - MLB Fan Pack,https://store.steampowered.com/app/1002130/Rocket_League__MLB_Fan_Pack/,"Action,Indie,Racing,Sports"
10,"Positive,(21),- 80% of the 21 user reviews for this game are positive.",AWAKE - Definitive Edition,https://store.steampowered.com/app/1002630/AWAKE__Definitive_Edition/,"Adventure,Indie,Casual,Point & Click,Atmospheric"
11,"Mixed,(27),- 66% of the 27 user reviews for this game are positive.",Hentai NetWalk,https://store.steampowered.com/app/1002960/Hentai_NetWalk/,"Sexual Content,Nudity,Casual,Indie,Strategy,Simulation,RPG,Puzzle"
12,"Very Positive,(134),- 83% of the 134 user reviews for this game are positive.",Total War: WARHAMMER II - Tiktaq'to,https://store.steampowered.com/app/1003160/Total_War_WARHAMMER_II__Tiktaqto/,"Strategy,Violent,Action"
13,"Positive,(31),- 83% of the 31 user reviews for this game are positive.",Two Point Hospital: Pebberley Island,https://store.steampowered.com/app/1003310/Two_Point_Hospital_Pebberley_Island/,"Simulation,Indie"
14,"Positive,(30),- 90% of the 30 user reviews for this game are positive.",Fireboy & Watergirl: Elements,https://store.steampowered.com/app/1003480/Fireboy__Watergirl_Elements/,Action
15,"Mostly Positive,(62),- 75% of the 62 user reviews for this software are positive.",Silo 2,https://store.steampowered.com/app/100400/Silo_2/,"Animation & Modeling,Software"
